"","Trade.Name","City","Reviews","Number_of_Reviews"
"94","DOLLAR GENERAL #14797","WILSON",0,0
"95","LINDEN DELI&GROCERY","ST ALBANS",3.4,8
"96","SANGRILA GROCERY STORE","SYRACUSE",0,0
"97","DUANE READE 14429","BROOKLYN",4,22
"98","GENERAL NUTRITION 3222","PEEKSKILL",2.4,8
"99","NEW MT PLEASANT BAKERY","SCHENECTADY",4,15
"100","EVERGREEN 206","NEW YORK",0,0
"101","CENTRAL MUNCHIES","ALBANY",3.1,164
"102","CVS PHARMACY 05037","RAVENA",4.8,6
"103","COMMUNITY CANDY","NEW YORK",0,0
"104","SCALINADA MEAT GROC&DEL","BRONX",0,0
"105","J&P RETAIL OUTLETS","BREWSTER",0,0
"106","WASHINGTON HEIGHTS GROC","NEW YORK",0,0
"107","FINE FARE","BRONX",0,0
"108","PABLO DELI & GROCERY","BROOKLYN",1,NA
"109","BURNSIDE MEAT MARKET","LAWRENCE",4.8,6
"110","GOURMET DELI 65","WOODSIDE",4.7,18
"111","CARMINES","PORT JERVIS",0,0
"112","T2 US","NEW YORK",4.6,96
"113","FASTRAC MARKET 264","AMSTERDAM",0,0
"114","FOOD UNIVERSE","BROOKLYN",0,0
"115","F&G FOOD MARKET","JAMAICA",4,4
"116","FRESH FARM & FISH","BRONX",0,0
"117","BEST HEALTH GOURMT DELI","NEW YORK",3.8,22
"118","MONTICELLO FRT MINI MKT","MONTICELLO",0,0
"119","VARYETE STORE","BROOKLYN",0,0
"120","ELIS BREAD ELIZABAR","NEW YORK",3.6,28
"121","WILLOW ROCK BREWING CO","SYRACUSE",4.8,104
"122","GUSHO PIZZA DELI GROCER","BROOKLYN",4,84
"123","SHATS DELI","MALONE",4.1,23
"124","FRUIT BASKET","FRESH MEADOWS",3,3
"125","KWIK STOP MART","BUFFALO",0,0
"126","JUBELEE MARKET PLACE","NEW YORK",0,0
"127","V&M INTER DELI GROCERY","CORONA",0,0
"128","DAZZLES","STATEN ISLAND",3.8,14
"129","ALI 2023 DELI & GROCERY","NEW YORK",0,0
"130","LAKEVIEW DISCOUNT GROCE","ASHVILLE",4.6,115
"131","UNIMART #440","CANISTEO",0,0
"132","OXBOW COUNTRY STORE","ANTWERP",4.7,15
"133","BROOKTONS MARKET, AARON","BROOKTONDALE",4.7,161
"134","J&Y DELI & MINI MARKET","BROOKLYN",4.8,8
"135","FLORS DELI GROCERY","JACKSON HEIGHTS",0,0
"136","JAMILS DELI MART","LACKAWANNA",4.3,7
"137","UNCLE JOHNNY GROCERY","NEW YORK",4.2,82
"138","C TOWN","BRONX",0,0
"139","DC MEAT MARKET","NEW YORK",3.3,3
"140","KWIK FILL M403","LINDLEY",0,0
"141","BRIGHTON FOOD GROUP","BROOKLYN",0,0
"142","SHERRYS THE HEALTHY GMT","BABYLON",0,0
"143","MALCOLM X GROCERY","BROOKLYN",0,0
"144","QUICK STOP & SHOP DELI","JACKSON HEIGHTS",4.4,16
"145","CVS PHARMACY #6053","STATEN ISLAND",3.4,32
"146","HUB ON THE HILL","ESSEX",4.8,12
"147","DAVES MKT&CHRISTMS WNDR","CHEEKTOWAGA",0,0
"148","MARAB GROCERY","BROOKLYN",5,2
"149","SALCEDO SUPERMARKET","BRONX",4.5,26
"150","MIRABITO STORE #87","ITHACA",0,0
"151","WESTFIELD MARKET","BRONX",0,0
"152","MOBIL MART","NEW PALTZ",0,0
"153","MONTYS","NEW YORK",4.5,328
"154","IDEAL FRESHMARKET","BROOKLYN",3.6,156
"155","KRAMELLS MEAT MARKET","WYOMING",0,0
"156","WALGREENS 05610","AMHERST",4.2,16
"157","STEVEN STILE FRMRS MRKT","NEW YORK",0,0
"158","156 FOOD MARKET","BRONX",0,0
"159","MAKEY DELI GROCERY","BRONX",0,0
"160","VICTORY DELI FOOD","STATEN ISLAND",0,0
"161","LIVYUSEN FISH CENTER","BROOKLYN",4.6,5
"162","FRESH DIRECT 10/01/2017","BRONX",0,0
"163","RITE AID #01957","BRONX",0,0
"164","PEEK N PEAK RESORT&SPA","CLYMER",0,0
"165","FBN DELI","BUFFALO",4.5,277
"166","FRESH DIRECT","BRONX",3.8,197
"167","STEWARTS SHOP #379","SLINGERLANDS",4,6
"168","CASTLE GOURMET DELI","BRONX",4.6,9
"169","FAIRWAY","NEW YORK",0,0
"170","CHEESE BARREL","MARGARETVILLE",4.8,38
"171","CHRUSCIKI BAKERY","BUFFALO",4.1,14
"172","EL CHURCHI DELI & GROCE","BRONX",0,0
"173","A1 GLOBAL MARKET INC","ELMHURST",0,0
"174","ARKPORT SHURFINE","ARKPORT",4.4,109
"175","A PLUS #40239H","BUFFALO",0,0
"176","BABICIAS PIEROGI","BUFFALO",3.9,17
"177","GOLDEN LAKE ASIAN FOODS","ROCHESTER",4.7,6
"178","LECHOCOLAT","BROOKLYN",4.4,23
"179","OCEAN STATE JOB LOT 502","SCHENECTADY",4.2,398
"180","MET FOOD","BRONX",0,0
"181","YOUR FRIENDLY FOOD","ELMHURST",0,0
"182","ANDYS QUICK STOP","NIAGARA FALLS",4.5,6
"183","KITHNOS SEAFOOD MARKET","ROCHESTER",4.4,176
"184","CITARELLA","NEW YORK",0,0
"185","INTERNATIONAL FOOD COUR","BROOKLYN",5,4
"186","STOP ONE MEAT MARKET","ROCHESTER",0,0
"187","DOLLAR TREE 399","VICTOR",0,0
"188","L SIMCHICK MEATS","NEW YORK",4.1,15
"189","MINOGUES BEVERAGE CENTE","QUEENSBURY",4.2,19
"190","DOLLAR GENERAL 6540","COXSACKIE",0,0
"191","WEGMANS 80","DEPEW",4.6,NA
"192","GAGAN","WATERTOWN",0,0
"193","INTERNATIONAL FOOD MKT","ROSLYN HEIGHTS",3.4,16
"194","STEWARTS SHOP 303","KEENE",4.1,13
"195","SAGAL FOOD","BRONX",3.4,7
"196","JOANN'S DELI","STATEN ISLAND",4.5,38
"197","WALGREENS #18226","CARTHAGE",0,0
"198","GRA CONVENIENT 1","BROOKLYN",3.7,3
"199","SISTERS DELI GROCERY","NEW YORK",0,0
"200","SHINING ELMIRA","ELMIRA",1,NA
"201","STOP & SHOP #2594","BRONX",4.2,NA
"202","EL MERCADO MEAT & PRODU","WHITE PLAINS",4,8
"203","EXPRESS DELI GOURMET 01","BROOKLYN",0,0
"204","SYANA PRODUCE","BRONX",0,0
"205","TACOS EL PAISANO","BROOKLYN",3.3,13
"206","MARYS CANDY STORE","NEW YORK",0,0
"207","CRISMELI DELI GROCERY","BRONX",4,2
"208","RITE AID #00614","ROCHESTER",0,0
"209","EAT BETTER GOURMET DELI","BRONX",3.8,23
"210","CVS PHARMACY 02436","BROOKLYN",0,0
"211","STEWARTS SHOP 270","PLATTSBURGH",0,0
"212","DANSVILLE VILLAGE MART","DANSVILLE",3,2
"213","A M E DELI GROCERY","BRONX",4,3
"214","SHAN SHAN GROCERY","BROOKLYN",4.1,58
"215","GLATT MART","BROOKLYN",4.4,517
"216","CANDYLAND","STATEN ISLAND",0,0
"217","GREAT AMERICAN","WATERTOWN",3.4,218
"218","GIGI DELI GROCERY","BROOKLYN",0,0
"219","VINEGAR FACTORY","NEW YORK",4,83
"220","BRAVO","BROOKLYN",0,0
"221","GOURMET DELI DELIGHT","BROOKLYN",4.9,9
"222","HGS ENTERPRISES","TABERG",0,0
"223","FASTRAC #206 10/2/17","PULASKI",0,0
"224","PIT STOP 819","NEW ROCHELLE",5,2
"225","VICERO BAKERY","BRONX",0,0
"226","CVS PHARMACY 02041","OZONE PARK",0,0
"227","66-16 MEAT&PRODUCE","ARVERNE",4.2,27
"228","HOLLENBECKS CIDER MILL","CORTLAND",4.7,310
"229","MELDI USA","BROOKLYN",0,0
"230","MARTINS COUNTRY STORE","MADRID",4.7,6
"231","293 BROADWAY DELI&GRCRY","BROOKLYN",4.1,7
"232","GROCERY CENTRO AMERICA","PORT CHESTER",5,NA
"233","JC FISH & SEAFOOD","HUNTINGTON STATION",4.3,73
"234","FRESH & TASTY SUSHI","EAST ISLIP",4.3,279
"235","1622 AMSTERDAM DELI&GRY","NEW YORK",0,0
"236","CROTON FOODMART","CROTON ON HUDSON",0,0
"237","FAST BREAK CONVENIENCE","SYRACUSE",4.3,3
"238","7-ELEVEN #35085H","WEST BLOOMFIELD",3.7,10
"239","OHS MINI MARKET","BROOKLYN",4.3,6
"240","MEAT PLACE THE","BROOKLYN",0,0
"241","SMILE DELI","NEW YORK",3.4,8
"242","HANDS FARM MARKET","GREENWICH",0,0
"243","SAMY DELI & GROCERY","BROOKLYN",4.6,5
"244","CENTERPORT CLAM","BERKSHIRE",4.3,17
"245","THE HUNGRY CHICKEN FARM","SCHENECTADY",4.4,37
"246","FOREST DELI GROCERY","BRONX",4,2
"247","TRU NORTH PIZZA","OGDENSBURG",5,37
"248","UNION BLVD DELI","BAY SHORE",4.5,216
"249","7 ELEVEN STORE # 35670B","NEW YORK",0,0
"250","V&S QUICKMART","TAPPAN",5,NA
"251","DOLLAR TREE 02794","CENTRAL SQUARE",0,0
"252","STEWARTS SHOP 230","SCOTIA",0,0
"253","C TOWN","BRONX",0,0
"254","ASTORIA BAKERS","ASTORIA",4.6,82
"255","CHAQUITA DELI 1 GROCERY","WOODSIDE",0,0
"256","GROCERY SURAMERICA","PORT CHESTER",0,0
"257","NBA GLATT MARKET","FRESH MEADOWS",5,6
"258","DOLLAR GENERAL STR 9763","CAMDEN",0,0
"259","BOLIVAR SHOP 'N SAVE","BOLIVAR",4.4,100
"260","ASTORIA SHELL TIRE PROS","ASTORIA",4.5,22
"261","STEWARTS SHOP 439","COPENHAGEN",0,0
"262","PARK TERRACE DELI","NEW YORK",4.3,188
"263","DOLLAR GENERAL #17063","PLATTSBURGH",0,0
"264","SPEEDWAY #07651","UTICA",4.5,12
"265","STADIUM ENTERPRISES","ORCHARD PARK",0,0
"266","148 FOOD PLAZA","NEW YORK",0,0
"267","COMPARE FOODS","BRONX",0,0
"268","K&E BEVERAGE","NEW PALTZ",4.6,70
"269","4TH SUBWAY DELI & GRILL","BROOKLYN",3.4,17
"270","SEASONS","FLUSHING",4.3,466
"271","BEYOGLU GARDEN MARKET P","NEW YORK",4.3,15
"272","OBAAPA AFRICAN & CARIBE","BRONX",4.6,10
"273","JL GROCERY STORE","BROOKLYN",3.5,4
"274","RITE AID #10795","ONEONTA",0,0
"275","SUPER HK MAIN STREET","FLUSHING",3.9,496
"276","DOLLAR GENERAL 7434","GREECE",0,0
"277","NEW MT PLEASANT BAKERY","SCHENECTADY",4,15
"278","AMOCO FOOD SHOP","POINT LOOKOUT",0,0
"279","KINGS NEWBRIDGE C-STORE","BELLMORE",0,0
"280","ES WHOLESOME FOODS","BROOKLYN",0,0
"281","TOPS 361","NORTH SYRACUSE",3.9,477
"282","SUNOCO A PLUS","BUFFALO",5,NA
"283","SUCHANA SUPERDISCOUNT S","BROOKLYN",0,0
"284","J&J SUPER STAR DELI","REGO PARK",4.4,24
"285","AZAAL 1 DELI GROCERY","CORONA",0,0
"286","BJS WHOLESALE CLUB #366","BELLPORT",4,147
"287","PUJARI CONVENIENT STORE","ALFRED",0,0
"288","STEW LEONARDS","FARMINGDALE",0,0
"289","EDIBLE ARRANGEMENTS","NEWBURGH",4,28
"290","DUANE READE","NEW YORK",0,0
"291","BAYAN KO","BROOKLYN",4.5,22
"292","RITE AID 3983","BATH",0,0
"293","SATMAR MEAT","BROOKLYN",0,0
"294","BIG LOTS #5274","CORTLANDT MANOR",4,249
"295","TOWFIK SHOPPING CENTER","SYRACUSE",0,0
"296","1459 MIA DELI & GROCERY","BRONX",4.3,14
"297","BG FRUIT MARKET","BRONX",0,0
"298","U T DELI","BROOKLYN",4.4,35
"299","PREET FOOD MART","PINE ISLAND",0,0
"300","MOES 1 DELI & GRILL","STATEN ISLAND",4.4,10
"301","LESLYANN DELI GROCERY","BRONX",5,NA
"302","TSM 2ND AVE GOURMET","NEW YORK",5,NA
"303","RALPHS 5 STAR MINIMARKE","JAMAICA",4.4,11
"304","PESCATORE SEAFOOD CO","NEW YORK",4.3,24
"305","WOLFES MARKET","QUAKER STREET",4,68
"306","BULLVILLE FOOD MART","BULLVILLE",4.4,69
"307","WILLOUGHBY GENERAL STOR","BROOKLYN",4.7,27
"308","GREAT JADE DELI&GROCERY","FLUSHING",0,0
"309","DOLLAR GENERAL #10141","MAINE",0,0
"310","NINO DE ATOCHA","STATEN ISLAND",0,0
"311","JERICHO CIDER MILL","JERICHO",4.6,184
"312","322 EAST 34","NEW YORK",0,0
"313","GORHAM MARKET","GORHAM",4.3,19
"314","ARGO SWEET SHOP","ELMONT",0,0
"315","DABO","NEW YORK",0,0
"316","IN THE GARDEN COFFEES","CARLISLE",0,0
"317","BLUE SEA FISH MARKET","BROOKLYN",5,4
"318","SLIDERS FOOD MART","LOWVILLE",0,0
"319","WEGMANS","AMHERST",0,0
"320","MORTON FOOD&GROCERY","NEW YORK",0,0
"321","BUCKMANS FAMILY FUEL","CHESTERTOWN",4.4,12
"322","ALDEN SAVE-A-LOT","ALDEN",4.2,179
"323","STEWARTS SHOPS #371","HEUVELTON",4.2,83
"324","MARINAS BAKERY","STATEN ISLAND",4,81
"325","SPEEDWAY #07741","CICERO",0,0
"326","120 CIRCLE DELI GROCERY","BRONX",0,0
"327","MAZOWSZE DELI","BROOKLYN",0,0
"328","IGA LAVIGNES","CHATEAUGAY",4.1,91
"329","CANNOLI PLUS","BROOKLYN",4.9,46
"330","SUSHI BY JAY","LAKE RONKONKOMA",0,0
"331","DECICCO FAMILY MARKET","PELHAM",4.5,333
"332","7-ELEVEN #35175","NORTH TONAWANDA",0,0
"333","SUNOCO A PLUS 9142","PHELPS",0,0
"334","CLARENDON OF KINGS DELI","BROOKLYN",4,2
"335","DUANE READE","NEW YORK",0,0
"336","ANGEL FISH MARKET","BROOKLYN",4,65
"337","51 EAST BROADWAY MARKET","NEW YORK",0,0
"338","AL GOURMET DELICATESSEN","RICHMOND HILL",4.4,170
"339","STS2","NEWBURGH",0,0
"340","FOODTOWN","BRONX",0,0
"341","FIVE STAR FOOD MARKET","JAMAICA",3,2
"342","ALIBABA HALAL MEAT","BROOKLYN",5,5
"343","NJB GOURMET FOOD","BROOKLYN",4,5
"344","NEW BEST SUSHI WORLD","BRONX",0,0
"345","DASH MARKETS","WILLIAMSVILLE",3.9,35
"346","BAYVIEW MINI MART","HAMBURG",0,0
"347","SCHREIBERS HOME STY BKR","BROOKLYN",0,0
"348","RITE AID #10764","SYRACUSE",0,0
"349","HARLEM GOURMET DELI","NEW YORK",0,0
"350","SPICES & GROCERY","NEW YORK",0,0
"351","C&DS MARKET","NEWPORT",4.3,7
"352","HONGS FISH MARKET","BROOKLYN",4.3,7
"353","789 E 163RD ST","BRONX",0,0
"354","APJP","BLAUVELT",0,0
"355","SUNOCO FOOD MART","HICKSVILLE",4.3,12
"356","QASIM HALAL MEAT","ELMONT",0,0
"357","OLEARS MINI MART","LOCKPORT",0,0
"358","HUA SUSHI GARDEN","STATEN ISLAND",0,0
"359","ASSOCIATED SUPERMARKET","BRONX",0,0
"360","CHATEAUGAY FOOD MART","CHATEAUGAY",0,0
"361","LOS PAISANOS","JACKSON HEIGHTS",5,2
"362","PRINCE DELI BURGERS","BRONX",0,0
"363","VARYETE STORE","BROOKLYN",0,0
"364","MELO MANIA DELI FOOD","BRONX",3.9,43
"365","DANNY'S BAKERY","BROOKLYN",0,0
"366","DIANA FOOD CENTER","BROOKLYN",4,4
"367","NEW LUCKY BEST CENTER","BROOKLYN",0,0
"368","BIG M YANDOS","PLATTSBURGH",4.2,138
"369","ASSOCIATED 744","GREAT NECK",4,53
"370","AMOR DELI GROCERY","NEW YORK",0,0
"371","DALE BAGELS","BROOKLYN",4.2,11
"372","WESTERN BEEF 42","STATEN ISLAND",0,0
"373","KM SALES","OLEAN",4.4,16
"374","SAMIAS MEDIT CUISINE","BROOKLYN",4.5,30
"375","GOURMET TO GO","NEW YORK",0,0
"376","GORKHA GROCERY STORE","ROCHESTER",4,26
"377","LIQUOR AND CONVENIENT E","BUFFALO",0,0
"378","ADELPHI POST HALL","GARDEN CITY",4.1,23
"379","FREEMAN DELI","BROOKLYN",3.7,6
"380","DAE & CHAE FAMILY","SOUTH RICHMOND HIL",0,0
"381","LICEY GROCERY","BROOKLYN",0,0
"382","ELM STREET DELI GROCERY","YONKERS",0,0
"383","PIEKLO BAKERY","MASPETH",4.6,24
"384","ALIZEH FOOD MART","SPRING VALLEY",5,NA
"385","136 DELI GROCERY","JAMAICA",4.8,20
"386","AFB GOLDEN MANGO","BROOKLYN",4.1,129
"387","MKM FOOD","BRONX",0,0
"388","99 CENTS RUSH","BRONX",4.1,25
"389","DOLLAR GENERAL 9839","WELLSVILLE",3.9,150
"390","MERCEDES MEAT MARKET","MASTIC BEACH",4.7,30
"391","US AUTO WASH COMPANY","BROOKLYN",0,0
"392","732 COURTLANDT DELI","BRONX",0,0
"393","EVAN SWEIKI","SYRACUSE",0,0
"394","STAR FUEL","QUEENSBURY",0,0
"395","7024 DELI AND GROCERY","BROOKLYN",4.6,5
"396","9D FOOD MART","WAPPINGERS FALLS",0,0
"397","SEANS QUALITY DELI","BRONX",4.1,49
"398","BILLS FOOD MART","BUFFALO",4.6,11
"399","1517 NEW BANI GROCERY","NEW YORK",3.8,4
"400","LEROY SAVE MORE","BUFFALO",4,13
"401","PRINCE DELI","BROOKLYN",4.6,30
"402","W SUNRISE 99 CENT MARKE","BROOKLYN",4.8,9
"403","SUPER LYELL MINI MART","ROCHESTER",0,0
"404","LOPEZ GROCERY","MAMARONECK",4.6,10
"405","KEY FOOD SUPERMARKET","NEW YORK",0,0
"406","SUPER SAVER MINI MART","BUFFALO",3.8,13
"407","EL CHURCHI DELI & GROCE","BRONX",0,0
"408","PASTOSA RAVIOLI","STATEN ISLAND",0,0
"409","APNA BAZAAR CASH&CARRY","FLORAL PARK",4,725
"410","7-ELEVEN STORE 34162","MERRICK",0,0
"411","CHESTNUT MARTS - 75 DUT","ORANGEBURG",0,0
"412","PONCHO'S GOURMET DELI &","BROOKLYN",5,8
"413","AVADHOOT","JOHNSTOWN",0,0
"414","FOODTOWN","BROOKLYN",0,0
"415","GISELLE MINIMARKET","BROOKLYN",4.3,14
"416","LA FLOR DE SANTA INES","BROOKLYN",4.1,35
"417","CHOCOLOGRAPHY","INWOOD",0,0
"418","KEY FOOD","BRONX",0,0
"419","ALIBABA HALAL MEAT & GR","ALBANY",5,NA
"420","SAZON DELI GROCERY","BRONX",5,2
"421","BRADLEY FARM","NEW PALTZ",4.8,20
"422","CITIWAVE TRADING","NEW YORK",0,0
"423","GOLDEN OWL SUSHI","NEW YORK",0,0
"424","FAMILY DOLLAR 5054","ROCHESTER",3.3,56
"425","WHOLE FOODS MARKET","NEW YORK",0,0
"426","MADAAN DELI & GROCERY","WOODHAVEN",0,0
"427","KOSHER CONVENIENCE","BROOKLYN",4.4,NA
"428","GARDEN FRESH GOURMET","BRONX",4.3,3
"429","FOOD CART","BROOKLYN",0,0
"430","A&Y GRILL & CONVENIENCE","WEST HEMPSTEAD",5,2
"431","NEW GARDEN FARM 1","RIDGEWOOD",0,0
"432","IGA LAVIGNES","CHATEAUGAY",4.1,91
"433","ALL NIGHT CANDY CORNER","LONG ISLAND CITY",4.5,2
"434","AMARA","SOUTH OZONE PARK",0,0
"435","OTTOMANELLI S&SONS","WOODSIDE",0,0
"436","MILANO MARKET","NEW YORK",0,0
"437","MIDTOWN FISH AND MEAT M","NEW YORK",0,0
"438","LOMA DELI GROCERY","BRONX",5,NA
"439","COSTA SUR DELI","BROOKLYN",0,0
"440","WOODLAND MARKET","THERESA",4,4
"441","PURA VIDA FISHERIES","HUDSON",4.7,49
"442","CVS PHARMACY 03224","NEW YORK",0,0
"443","SAMANA MINI MARKET","BROOKLYN",0,0
"444","FENIX GROCERY","NEW YORK",3.6,5
"445","MET FOODS","NEW YORK",0,0
"446","L I CONVENIENCE AND DEL","WANTAGH",4.4,7
"447","WOODLAND MARKET","THERESA",4,4
"448","ROCKLAND BAKERY","NANUET",4.8,NA
"449","R & D DELI GROCERY","FREEPORT",5,2
"450","LA PLACITA","BRENTWOOD",4.4,54
"451","FRANKLIN ST DAIRY MKT","WATERTOWN",3.3,9
"452","SHAIBI GOURMET DELI","BRONX",0,0
"453","7 ELEVEN STORE #37733H","LYNBROOK",0,0
"454","C TOWN","BROOKLYN",0,0
"455","SANTA GROCERY DELI","NEW YORK",4.3,46
"456","LONG ACRE FARMS","MACEDON",4.6,79
"457","CONCOURSE DELI GROCERY","BRONX",4.3,57
"458","FRIENDLY FOOD MART","ENDICOTT",0,0
"459","COLINS QUICK STOP","SHIRLEY",0,0
"460","VINCENT LOS GROCERY","BROOKLYN",0,0
"461","SALAM DELI & GRILL","BROOKLYN",4,NA
"462","DARU SALAM","NEW YORK",4.7,68
"463","FOODTOWN","BROOKLYN",0,0
"464","51 EAST BROADWAY MARKET","NEW YORK",0,0
"465","ASSOCIATED SUPERMARKET","BRONX",0,0
"466","7-ELEVEN FD STR 11157D","EAST NORTHPORT",0,0
"467","FAMILY DOLLAR #2219","UNIONDALE",4.1,93
"468","WARWICK SUNOCO","WARWICK",2.8,4
"469","TS EZMART","INLET",0,0
"470","7-ELEVEN STORE 35472A","NEW YORK",0,0
"471","148 FOOD PLAZA","NEW YORK",0,0
"472","1538 NEW DELI","BRONX",2,NA
"473","7 ELEVEN STORE #36979H","NEW YORK",0,0
"474","PRINCE DELI","BROOKLYN",4.6,30
"475","NY MEAT MARKET LOS PRIM","MASTIC",0,0
"476","GREENLAND TROPICAL DELI","BRONX",5,3
"477","AFRICAN MARKET","BRONX",0,0
"478","MI BARRIO BUTCHER","NEW YORK",4.3,8
"479","LAKEVIEW DISCOUNT GROCE","ASHVILLE",4.6,115
"480","MANNAH HALAL MEAT & GRO","JACKSON HEIGHTS",0,0
"481","APNA BAZAR FARMERS MARK","SOUTH RICHMOND HIL",4.2,295
"482","HEMPSTEAD FAMILY DELI","QUEENS VILLAGE",3.9,9
"483","AL-KADI MARKET","BUFFALO",0,0
"484","LINDEN DELI","BROOKLYN",4.3,85
"485","COTTI AL FORNO","BROOKLYN",4.3,579
"486","EXPRESS MART #374/SPEED","BUFFALO",4,5
"487","GRAND DELFINO BAGEL & D","STATEN ISLAND",3.7,3
"488","RITE AID 3597","ROCHESTER",3.6,10
